channum	label	 theta	phi
1	Fpz	  92	 90
3	Fz	  46	 90
4	FCz	  23	 90
5	Cz	   0	  0
6	CPz	  23	-90
7	Pz	  46	-90
8	POz	  69	-90
9	Oz	  92	-90
10	Iz	 115	-90
11	F2	  50	 68
12	FC2	  32	 45
13	C2	  23	  0
14	CP2	  32	-45
15 	P2	  50	-68
16 	AF4	  74	 65
17 	F4	  60	 51
18 	FC4	  53	 33
19	C4	  46	  0
20	CP4	  52	-33
21	P4	  60	-51
22	PO4	  74	-65
23	F6	  75	 41
24	FC6	  72	 21
25	C6	  69	  0
26	CP6	  72	-21
27	P6	  75	-41
28	Fp2	  92	 72
29	AF8	  92	 54
30	F8	  92	 36
31	FT8	  92	 18
32	T8	  92	  0
33	TP8	  92	-18
34	P8	  92	-36
35	PO8	  92	-54
36	O2	  92	-72
37	F10	 115	 36
38	FT10	 115	 18
39	TP10	 115	-18
40	P10	 115	-36
41	PO10	 115	-54
42	O10	 115	-72
43	F1	 -50	-68
44	FC1	 -32	-45
45	C1	 -23	  0
46	CP1	 -32	 45
47	P1	 -50	 68
48	AF3	 -74	-65
49	F3	 -60	-51
50	FC3	 -53	-33
51 	C3	 -46	  0
52	CP3	 -52	 33
53	P3	 -60	 51
54	PO3	 -74	 65
55	F5	 -75	-41
56	FC5	 -72	-21
57	C5	 -69	  0
58	CP5	 -72	 21
59	P5	 -75	 41
60	Fp1	 -92	-72
61	AF7	 -92	-54
62	F7	 -92	-36
63	FT7	 -92	-18
64	T7	 -92	  0 
65	TP7	 -92	 18
66	P7	 -92	 36
67	PO7	 -92	 54
68	O1	 -92	 72
69	F9	-115	-36
70	FT9	-115	-18
71	TP9	-115	 18
72	P9	-115	 36
73	PO9	-115	 54
74	O9	-115	 72
75	VEOG1  	 138	 62
76	VEOG2  	 115	 90
77	VEOG3  	-138	-62     
